student_id	year	college	major
443	2020	Ezra Stiles College	Political Science
444	2019	Saybrook College	Applied Mathematics
445	2020	Jonathan Edwards College	Political Science
446	2021	Timothy Dwight College	Physics & Philosophy
447	2019	Pauli Murray College	Computer Science
448	2020	Pauli Murray College	Economics
449	2021	Benjamin Franklin College	Undeclared
450	2022	Trumbull College	Undeclared
451	2020	Davenport College	Economics
452	2020	Berkeley College	Biomedical Engineering
453	2019	Davenport College	Computer Science
454	2021	Pierson College	Undeclared
455	2019	Morse College	Political Science
456	2021	Trumbull College	Undeclared
457	2022	Berkeley College	Undeclared
458	2019	Morse College	Molecular Biophysics & Biochem
459	2019	Branford College	History
460	2019	Silliman College	Physics
461	2021	Davenport College	Undeclared
462	2019	Ezra Stiles College	African American Studies
463	2020	Morse College	American Studies
464	2021	Morse College	History
465	2019	Berkeley College	History
466	2019	Morse College	Computer Science & Mathematics
467	2019	Berkeley College	American Studies
468	2019	Branford College	Music
469	2020	Trumbull College	Ethics,Politics & Economics
470	2022	Silliman College	Undeclared
471	2019	Saybrook College	Mechanical Engineering
472	2020	Morse College	Statistics and Data Science
473	2020	Davenport College	Ecology & Evolutionary Biology
474	2020	Timothy Dwight College	Cognitive Science
475	2021	Ezra Stiles College	Molecular Biophysics & Biochem
476	2021	Grace Hopper College	Humanities
477	2020	Branford College	Economics
478	2021	Morse College	History
479	2019	Pauli Murray College	Russian & E European Studies
480	2022	Grace Hopper College	Undeclared
481	2021	Silliman College	Undeclared
482	2020	Trumbull College	English
483	2022	Benjamin Franklin College	Undeclared
484	2021	Berkeley College	Undeclared
485	2022	Grace Hopper College	Undeclared
486	2021	Jonathan Edwards College	Undeclared
487	2022	Timothy Dwight College	Undeclared
488	2020	Morse College	Mechanical Engineering
489	2020	Pierson College	Economics
490	2020	Jonathan Edwards College	Theater Studies
491	2021	Benjamin Franklin College	Computer Science
492	2021	Silliman College	History
493	2021	Ezra Stiles College	Undeclared
494	2022	Pierson College	Undeclared
495	2019	Grace Hopper College	East Asian Studies
496	2020	Saybrook College	Applied Mathematics
497	2019	Benjamin Franklin College	Economics
498	2020	Pauli Murray College	Cognitive Science
499	2019	Saybrook College	Electrical Engineering
500	2021	Pauli Murray College	Undeclared
501	2021	Ezra Stiles College	Undeclared
502	2020	Branford College	Political Science
503	2019	Berkeley College	Elec.Engineering/Computer Sci
504	2022	Timothy Dwight College	Undeclared
505	2022	Berkeley College	Undeclared
506	2022	Pierson College	Undeclared
507	2022	Davenport College	Undeclared
508	2019	Silliman College	History
509	2022	Ezra Stiles College	Undeclared
510	2022	Branford College	Undeclared
511	2020	Benjamin Franklin College	Ecology & Evolutionary Biology
512	2022	Berkeley College	Undeclared
513	2022	Timothy Dwight College	Undeclared
514	2019	Davenport College	Economics
515	2019	Saybrook College	Applied Mathematics
516	2022	Silliman College	Undeclared
517	2019	Silliman College	Statistics and Data Science
518	2019	Davenport College	History
519	2020	Grace Hopper College	Molecular Biophysics & Biochem
520	2019	Grace Hopper College	Political Science
521	2021	Branford College	Humanities
522	2019	Benjamin Franklin College	Economics
523	2019	Jonathan Edwards College	Theater Studies
524	2021	Davenport College	Economics
525	2021	Pauli Murray College	Undeclared
526	2021	Grace Hopper College	Computer Science
527	2022	Trumbull College	Undeclared
528	2021	Silliman College	Undeclared
529	2022	Benjamin Franklin College	Undeclared
530	2022	Benjamin Franklin College	Undeclared
531	2021	Silliman College	Undeclared
532	2020	Jonathan Edwards College	Political Science
533	2020	Jonathan Edwards College	History
534	2020	Trumbull College	Ecology & Evolutionary Biology
535	2020	Morse College	Mathematics & Physics
536	2021	Ezra Stiles College	Undeclared
537	2020	Silliman College	Global Affairs
538	2020	Grace Hopper College	History
539	2020	Silliman College	History
540	2020	Berkeley College	Economics
541	2020	Timothy Dwight College	Film and Media Studies
542	2022	Jonathan Edwards College	Undeclared
543	2019	Grace Hopper College	Neuroscience
544	2022	Pauli Murray College	Undeclared
545	2020	Morse College	Engineering Science-Mechanical
546	2022	Jonathan Edwards College	Undeclared
547	2020	Pierson College	Global Affairs
548	2019	Morse College	Architecture
549	2021	Ezra Stiles College	Ecology & Evolutionary Biology
550	2021	Pierson College	Undeclared
551	2019	Pauli Murray College	Ecology & Evolutionary Biology
552	2022	Pierson College	Undeclared
553	2021	Saybrook College	Undeclared
554	2021	Saybrook College	Undeclared
555	2022	Branford College	Undeclared
556	2021	Timothy Dwight College	Undeclared
557	2021	Timothy Dwight College	Undeclared
558	2020	Timothy Dwight College	Economics
559	2021	Silliman College	Undeclared
560	2019	Trumbull College	Psychology
561	2020	Berkeley College	Economics
562	2021	Benjamin Franklin College	Undeclared
563	2020	Morse College	Computing and the Arts
564	2022	Benjamin Franklin College	Undeclared
565	2019	Pierson College	History
566	2021	Saybrook College	Undeclared
567	2021	Berkeley College	English
568	2021	Grace Hopper College	History
569	2019	Morse College	Psychology
570	2020	Branford College	Economics
571	2021	Timothy Dwight College	Undeclared
572	2022	Pauli Murray College	Undeclared
573	2021	Pauli Murray College	Undeclared
574	None	Trumbull College	Undeclared
575	2022	Pauli Murray College	Undeclared
576	2022	Pierson College	Undeclared
577	2021	Morse College	Music
578	2019	Trumbull College	Music
579	2021	Branford College	Undeclared
580	2019	Trumbull College	English
581	2022	Grace Hopper College	Undeclared
582	2022	Grace Hopper College	Undeclared
583	2019	Pierson College	Computer Science
584	2022	Silliman College	Philosophy
585	2020	Pauli Murray College	Environmental Studies
586	2020	Davenport College	Political Science
587	2020	Berkeley College	Neuroscience
588	2020	Jonathan Edwards College	Political Science
589	2021	Timothy Dwight College	Undeclared
590	2022	Jonathan Edwards College	Undeclared
591	2022	Branford College	Undeclared
592	2022	Timothy Dwight College	Undeclared
593	2021	Trumbull College	Undeclared
594	2020	Davenport College	Ethics,Politics & Economics
595	2022	Berkeley College	Undeclared
596	2021	Berkeley College	Computer Science
597	2022	Ezra Stiles College	Undeclared
598	2022	Davenport College	Undeclared
599	2019	Berkeley College	Political Science
600	2021	Silliman College	English
601	2020	Pierson College	History
602	2019	Grace Hopper College	Environmental Studies
603	2022	Silliman College	Undeclared
604	2019	Morse College	Molecular Biophysics & Biochem
605	2019	Pierson College	Mechanical Engineering
606	2022	Pauli Murray College	Undeclared
607	2020	Saybrook College	Elec.Engineering/Computer Sci
608	2021	Davenport College	Political Science
609	2020	Grace Hopper College	Electrical Engineering
610	2019	Pierson College	Ethics,Politics & Economics
611	2022	Saybrook College	Undeclared
612	2020	Ezra Stiles College	Architecture
613	2022	Grace Hopper College	Undeclared
614	2020	Pierson College	Psychology
615	2019	Morse College	English
616	2021	Pauli Murray College	Undeclared
617	2022	Silliman College	Undeclared
618	2021	Ezra Stiles College	Computer Science
619	None	Grace Hopper College	Political Science
620	2019	Timothy Dwight College	Mathematics
621	2021	Silliman College	Undeclared
622	2020	Jonathan Edwards College	East Asian Studies
623	2019	Trumbull College	Statistics and Data Science
624	2020	Timothy Dwight College	African American Studies
625	2019	Branford College	Neuroscience
626	2022	Pauli Murray College	Undeclared
627	2020	Morse College	Ethics,Politics & Economics
628	2022	Davenport College	Undeclared
629	2022	Davenport College	Undeclared
630	2021	Davenport College	History Science, Medicine & PH
631	2021	Davenport College	Undeclared
632	2021	Pauli Murray College	Undeclared
633	2022	Jonathan Edwards College	Undeclared
634	2020	Jonathan Edwards College	Political Science
635	2022	Branford College	Undeclared
636	2022	Benjamin Franklin College	Undeclared
637	2021	Saybrook College	Economics
638	2019	Davenport College	Computer Science
639	2020	Trumbull College	History Science, Medicine & PH
640	2019	Silliman College	History Science, Medicine & PH
641	2020	Pauli Murray College	History Science, Medicine & PH
642	2022	Morse College	Undeclared
643	2019	Ezra Stiles College	History
644	2019	Timothy Dwight College	Economics
645	2022	Branford College	Undeclared
646	2020	Davenport College	Cognitive Science
647	2019	Benjamin Franklin College	History
648	2022	Berkeley College	Undeclared
649	2022	Ezra Stiles College	Undeclared
650	2020	Branford College	Cognitive Science
651	2019	Trumbull College	Theater Studies
652	2021	Morse College	Biomedical Engineering
653	2020	Timothy Dwight College	Cognitive Science
654	2022	Timothy Dwight College	Undeclared
655	2019	Ezra Stiles College	Cognitive Science
656	2022	Benjamin Franklin College	Undeclared
657	2020	Pauli Murray College	Political Science
658	2021	Jonathan Edwards College	Undeclared
659	2020	Silliman College	Computer Science
660	2022	Silliman College	Undeclared
661	2019	Berkeley College	Sociology
662	2020	Jonathan Edwards College	Political Science
663	2020	Ezra Stiles College	Psychology
664	2020	Morse College	Neuroscience
665	2019	Benjamin Franklin College	Economics
666	2020	Silliman College	Political Science
667	2020	Branford College	Molecular,Cellular,Dev Biology
668	2022	Davenport College	Undeclared
669	2021	Morse College	Undeclared
670	2020	Davenport College	Psychology
671	2021	Morse College	Undeclared
672	2020	Ezra Stiles College	History
673	2019	Pauli Murray College	Chemistry
674	2022	Jonathan Edwards College	Undeclared
675	2020	Jonathan Edwards College	Economics
676	2020	Jonathan Edwards College	African American Studies
677	2021	Morse College	History
678	2019	Saybrook College	Ethics,Politics & Economics
679	2019	Ezra Stiles College	Philosophy
680	2020	Morse College	Global Affairs
681	2021	Pauli Murray College	Undeclared
682	2021	Silliman College	Latin American Studies
683	2022	Branford College	Undeclared
684	2021	Saybrook College	Undeclared
685	2022	Grace Hopper College	Undeclared
686	2020	Branford College	Economics
687	2020	Pierson College	Applied Mathematics
688	2020	Branford College	Mathematics
689	2020	Silliman College	Political Science
690	2021	Saybrook College	Undeclared
691	2021	Trumbull College	Undeclared
692	None	Trumbull College	Neuroscience
693	2022	Branford College	Undeclared
694	2020	Benjamin Franklin College	Anthropology
695	2019	Jonathan Edwards College	Biomedical Engineering
696	2022	Morse College	Undeclared
697	2022	Pierson College	Undeclared
698	2022	Saybrook College	English
699	2022	Jonathan Edwards College	Undeclared
700	2022	Saybrook College	Undeclared
701	2020	Pierson College	Chemical Engineering
702	2020	Branford College	Political Science
703	2019	Silliman College	English
704	2020	Pierson College	Political Science
705	2020	Ezra Stiles College	Ethics,Politics & Economics
706	2021	Timothy Dwight College	Undeclared
707	2021	Grace Hopper College	History
708	2020	Grace Hopper College	Molecular,Cellular,Dev Biology
709	2021	Pierson College	Political Science
